number,Name,Address,Location,Timings,PhoneNumber,Rating,NumberofRatings
28,Ongole,"Dno 5-417, Kurnool Road, Kurnool Road, Opposite Chimakurthy Eye Hospital, Ongole, Andhra Pradesh, 523001",Andhra Pradesh,11:00 AM to 09:00 PM,8929083596,4.9,1866
29,"Sector 6, MVP Colony","2/30/26/1, Jami Function Hall, Sector 6, Mvp Colony, Near Mg Cancer Hospital, Visakhapatnam, Andhra Pradesh, 530017",Andhra Pradesh,11:00 AM to 09:00 PM,7428890205,4.9,1422
30,Lakshmipuram,"H No 8/7 & 8/8, Anand Nilayam, Main Road, Lakshmipuram, Near Ntr Municipal Stadium, Guntur, Andhra Pradesh, 522007",Andhra Pradesh,11:00 AM to 09:30 PM,7428890224,4.8,2254
31,Daba Gardens,"Shop No G1, Door No 30-15-158, City Plaza, Daba Gardens, Opposite Sharma Sports, Visakhapatnam, Andhra Pradesh, 530020",Andhra Pradesh,11:00 AM to 09:30 PM,8929435360,4.9,1814
32,Kavali,"D No 10-15-35, Abm Compound Area, Kavali Bit 2, Shop No G-21 & F-21, Survey Number 1080/3-1, 1080/2, Kavali, Kavali, Andhra Pradesh, 524201",Andhra Pradesh,11:00 AM to 09:00 PM,8929162485,4.9,1159
33,Rajahmundry,"46-7-33, Danavipeta, Danavipeta, Rajahmundry, Andhra Pradesh, 533103",Andhra Pradesh,11:00 AM to 09:30 PM,8929210979,4.9,2425
34,Kadapa,"Ground Floor, PP Sri Chaitanya School, Rajiv Park Road, Next To More Super Market, Kadapa, Andhra Pradesh, 516001",Andhra Pradesh,11:00 AM to 09:00 PM,8929310236,4.9,2894
35,Dargamitta,"No 24-3-186, Grand Truck Road, Dargamitta, Near Kims Hospital, Nellore, Andhra Pradesh, 524003",Andhra Pradesh,11:00 AM to 09:00 PM,7303833834,4.8,1205
36,Ramavarapadu,"D.No 10-157, Tankasala Vari Centre, Beside HDFC Bank, Enikepadu Complex, Ramavarapadu, Vijayawada, Andhra Pradesh, 521108",Andhra Pradesh,10:30 AM to 09:30 PM,9582637036,5.0,80
37,"RTC Bus Stand Road, Anantapur","13-3-338 B, Ground Floor, Amar Inn Lodge, Bus Stand Road2, Srinivas Nagar, Anantapur, Andhra Pradesh, 515001",Andhra Pradesh,11:00 AM to 09:00 PM,7428890257,4.9,2463
38,Vijayawada,"H No 76-8-5/3, Survey No 66/1, Plot No 4, Bhavanipuram, Crombay Road No 1, Bhagatsingh Road, Vijayawada Town, Vijayawada Municipal Corporation, Bhavanipuram, Vijayawada, Andhra Pradesh, 520003",Andhra Pradesh,10:30 AM to 09:30 PM,8929330736,4.8,761
39,Bhimavaram,"27-1-4, J P Road, West Godavari, Next To Srinivasa Hospital, Bhimavaram, Andhra Pradesh, 534202",Andhra Pradesh,11:00 AM to 09:00 PM,9810734735,4.8,1764
40,Proddatur,"Door #8/702, Gandhi Road, Opposite Posinsa Compound, Proddatur, Andhra Pradesh, 516360",Andhra Pradesh,11:00 AM to 09:00 PM,8447835812,4.9,2909
41,Kurmannapalem,"Door No 31-27-66, Shop No 3, Ground Floor, Beside Indusind ATM, Kurmanna Palem, Revenue Ward 58, Visakhapatnam, Andhra Pradesh, 530046",Andhra Pradesh,10:30 AM to 09:30 PM,9953828063,4.9,331
42,Meghana Mall,"Shop No 46,15/29, Ground Floor, Meghana Mall, Dwarka Nagar, High Street, Near Diamond Park, Visakhapatnam, Andhra Pradesh, 530016",Andhra Pradesh,11:00 AM to 09:30 PM,8826001544,4.9,2119
43,Maddilapalem,"No 9-1-224/1, T S No 1036/2, Waltair Ward, Cbm Compound, Maddilapalem, Rama Talkies Road, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,11:00 AM to 09:30 PM,8929289664,4.9,3435
44,Marripalem,"Door No 36-46-69/4, Kancharapalem Main Road, Marripalem, Near Rama Rao Hospital, Visakhapatnam, Andhra Pradesh, 530008",Andhra Pradesh,11:00 AM to 09:30 PM,8447728768,5.0,2256
45,Rajahmundry,"31-1-30, Janda Panja Road, Near Ajantha Hotel, Rajahmundry, Andhra Pradesh, 533101",Andhra Pradesh,11:00 AM to 09:00 PM,8447730276,4.9,545
46,Sujathanagar,"7-183/1/1, Survey No 145/5, Opposite Reliance Smart Point, Ratnagiri Nagar Greater, Visakhapatnam, Andhra Pradesh, 530051",Andhra Pradesh,10:30 AM to 09:30 PM,7291823867,,
47,Gujjanagulla,"Door No 4-18-37/1, 7th line, Chandramouli Nagar, Beside Platinum Cinemas, Gujjanagulla, Guntur, Andhra Pradesh, 522007",Andhra Pradesh,10:30 AM to 09:30 PM,9953680146,5.0,33
48,Jagdamba Vizag,"Ground Floor, Venu Regency, Ram Nagar, Jagdamba, Maddilapalem, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,11:00 AM to 09:30 PM,8929328702,4.9,1873
49,Poranki Vijayawada,"1-262/1 Poranki Gram Sri Rama Complex, Panchayat, Tadigadapa Centre MG Road, Penamaliri Mandal, Kankipadu Sub Reg Area, Krishna District, Vijayawada, Andhra Pradesh 521137",Andhra Pradesh,10:30 AM to 09:30 PM,8742939735,4.9,493
50,Anakapalle,"12-1-22/5, 4 Road, Nehru Chowk, Next To Sbi Main Branch, Anakapalle, Andhra Pradesh, 531001",Andhra Pradesh,11:00 AM to 09:00 PM,7290022123,4.9,1398
51,SRMT Mall,"Shop No 206, Ground Floor, Srmt Mall, Sarpavaram Junction, Lalitha Nagar, Besides Kamal Watch Co, Kakinada, Andhra Pradesh, 533005",Andhra Pradesh,11:00 AM to 09:30 PM,8588941394,5.0,6358
52,MVP Double Road,"Ground Floor D No 1-83-47/1, New Venkojipalem, Revenue Ward 8, Srinivasa Plaza, MVP Double Road, MVP Colony, Visakhapatnam, Andhra Pradesh, 530017",Andhra Pradesh,11:00 AM to 09:30 PM,9953592608,4.9,876
53,Adoni,"1/54/17, Sri Ramnagar Colony, AAS College Road, Kurnool District, Adoni, Andhra Pradesh, 518301",Andhra Pradesh,11:00 AM to 09:00 PM,8447925965,5.0,2192
54,Eluru Road,"#27-1-58, Sathya Estate, Muddha Subbaiah Street, Governor Pet, Eluru Road, Near South India Shopping Mall, Vijayawada, Andhra Pradesh, 520002",Andhra Pradesh,10:30 AM to 09:30 PM,8800211649,4.8,1445
55,TTD Road Nandyal,"25-695-10, Ttd Road, Srinivasa Nagar, Opposite V-Mart, Nandyal, Andhra Pradesh, 518501",Andhra Pradesh,11:00 AM to 09:00 PM,9667274275,4.9,2621
56,IBC systems Brahmapur,"Ibc Systems, Tatabenz Square, Zanana Hospital Road, Zh Road, Brahmapur, Odisha, 760004",Andaman and Nicobar Islands,11:00 AM to 09:00 PM,8447903198,4.9,1024
57,Urban Bank Road,"Dk & Co, Lower Ground Floor, Sayed Complex, Urban Bank Road, Ganjam, Near Annapurna Market Square, Brahmapur, Odisha, 760001",Andaman and Nicobar Islands,11:00 AM to 09:00 PM,7428890082,4.9,1297
58,Lewis Road,"Ground Floor, Unit No 29, Khata No 347/43, Lewis Road, PS Badagada, Near Jockey Showroom, Buxijagabandhu Nagar, Bhubaneswar, Odisha, 751014",Andaman and Nicobar Islands,11:00 AM to 09:00 PM,9582432791,4.9,844
59,Vivekananda Marg,"564 Vivekananda, Marg, Vivekananda Marg, Near Ramkrishna Math, Bhubaneswar, Odisha, 751002",Andaman and Nicobar Islands,11:00 AM to 09:00 PM,9999207583,4.9,2052
60,Naharlagun,"Sector A, Nh 415, Sector A, Near Blackberry Store, Naharlagun, Arunachal Pradesh, 791110",Arunachal Pradesh,09:00 AM to 08:00 PM,8929157897,4.9,329
61,Baihata Chariali,"Ground Floor, Dag No 1939, Guwahati Road, Baihata Chariali, Assam, 781381",Assam,10:30 AM to 09:00 PM,7065045104,4.9,953
62,Dr. B Baruah Road,"Royal Arcade, Dr. B Barua Road, Ulubari, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM,8447745421,4.8,589
63,Kokrajhar,"Ward No 4, J D Road, Near HDFC Bank, Sankar Baruah, Kokrajhar, Assam 783370",Assam,10:00 AM to 09:00 PM,9643803629,4.9,20
64,Lalganesh,"Ground Floor, Lokhra Road, Kalapahar, Next To Icici Kalapahar Branch, Guwahati, Assam, 781018",Assam,10:30 AM to 09:00 PM,9311773718,4.9,548
65,Flagship Store Lachitnagar,"Ground Floor, Gs Road, South Sarania, Lachit Nagar, Ulubari, Near Ulubari Petrol Pump, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM,7303261262,4.8,483
66,Rehabari,"Rishav Plaza, A K Azad Road, Rehabari, Beside Apollo Pharmacy, Guwahati, Assam, 781008",Assam,10:30 AM to 09:00 PM,7303182183,4.8,619
67,Tinsukia,"Rangagora Road, Near Ultra Lab, Tinsukia, Assam, 786125",Assam,10:00 AM to 08:30 PM,9811031027,4.8,313
68,Asian Palace,"Ground Floor, Asian Palace, GS Road, Ulubari Opposite People Store, Near LIC Office, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM,9811039635,4.9,219
69,Dibrugarh,"Ground Floor, Mancotta Road, Mancotta Road, Near Thana Charali, Dibrugarh, Assam, 786001",Assam,10:30 AM to 09:00 PM,9582892445,4.8,530
70,At Road Jorhat,"Ground Floor, Near Hdfc Bank Tarajan, At Road, Jorhat, Assam, 785001",Assam,11:00 AM to 09:00 PM,3764060264,,
71,Silpukhuri,"Ground Floor, Gnb Road, Silpukhuri, Kamrup Metropolition, Silpukhuri, Near Lakshmi Service Station, Guwahati, Assam, 781003",Assam,10:30 AM to 09:00 PM,7289061323,4.6,427
72,Zoo Road,"R G Baruah Road, Spanish Garden, Opposite State Zoo, Spanish Garden, Beside Indian Petrol Pump, Guwahati, Assam, 781003",Assam,10:30 AM to 09:00 PM,8929435267,4.9,696
73,Tezpur,"Ground Floor, Hotel Central Point, Opposite Tezpur Police Station, Tezpur, Assam, 784001",Assam,11:00 AM to 09:00 PM,9582516764,4.9,208
74,Maligaon Chariali,"Gate No 1, Maligaon Chariali, Guwahati, Assam, 781011",Assam,10:30 AM to 09:00 PM,9718301704,4.7,327
75,Chapaguri,"Ground Floor, Chapaguri Road, Opposite Hotel Jahnabee Regency, North Bongaigaon, Amguri, Bongaigaon, Assam, 783380",Assam,10:00 AM to 09:00 PM,9582340673,,
76,Central Mall,"Shop No 103, Ground Floor, Central Mall, Christian Basti, G S Road, Guwahati, Assam, 781005",Assam,11:00 AM to 09:00 PM,9582601631,4.9,333
77,Marwaripatty,"Tripal House, At Road, Marwaripatty, Near Indian Oil Petrol Pump, Nagaon, Assam, 782001",Assam,10:00 AM to 08:30 PM,7428890188,4.8,789
78,Bamunimaidan,"Ground Floor, Girish Mansion, Maniram Dewan Road, Bamunimaidan, Beside Reliance Trends, Guwahati, Assam, 781021",Assam,11:00 AM to 09:00 PM,8929176106,4.9,623
79,Rangia,"Ground Floor & Upper Floor, Rangia Town, Mouza Panduri , P S Rangia Under Rangia Revenue Circle, District Kamrup, Guwahati, Assam, 781354",Assam,10:30 AM to 09:00 PM,8742965758,4.9,340
80,Tezpur,"Style Bazar Building, Mahidhar Borah Road, Mahidhar Borah Road, Opposite Eidgah, Tezpur, Assam, 784001",Assam,10:00 AM to 08:30 PM,8447902982,4.8,264
81,Silchar,"N S Avenue, Silchar, Ranghirkhari, Opposite Life Line Hospital, Silchar, Assam, 788005",Assam,10:30 AM to 09:00 PM,8929335947,4.6,481
82,NCS Adabari,"Ground Floor, Ncs Square Mall, Adabari, P O & P S Bolpur, Adabari, Guwahati, Assam, 781014",Assam,10:30 AM to 09:00 PM,8929346634,4.8,1048
83,Duliajan,"16 No Tiniali, Duliajan, Duliajan Oil Town, Dibrugarh, Assam, 786602",Assam,11:00 AM to 09:00 PM,9582919392,4.8,131
84,AT Road Sivasagar,"Ward No 13, Station Chariali, AT Road, Sivasagar, Assam, 785640",Assam,11:00 AM to 09:00 PM,9953832735,5.0,176
85,Nalbari,"Ground Floor Rouchand Complex, Ward No 8, Barama Road, Opposite DC Office, Nalbari, Assam, 781335",Assam,11:00 AM to 09:00 PM,8743820575,4.9,660
86,Jorhat,"Gar-Ali, Jorhat, Gar-Ali, Opposite Gar Ali Masjid, Jorhat, Assam, 785001",Assam,10:30 AM to 09:00 PM,9667242243,4.8,636
87,City Centre Mall,"Shop No Ff28, First Floor, City Centre Mall, Christian Basti, Guwahati, Assam, 781005",Assam,11:00 AM to 09:00 PM,8588091387,4.6,655
88,Hatigaon,"Ground Floor, House No 13, Uttam Marriage Hall, Hatigaon, Hatigaon, Near Bpcl Petrol Pump, Guwahati, Assam, 781038",Assam,11:00 AM to 09:00 PM,7428890156,4.7,438
89,Dispur,"Ground Floor, Ld Plaza, Gs Road, Dispur, Opposite Assam Secretariat, Guwahati, Assam, 781006",Assam,10:30 AM to 09:00 PM,7428890249,4.4,480
90,Khagaul Road,"Ground Floor, Khagaul Road, Anisabad, Opposite Mausam Vibhag, Patna, Bihar, 800002",Bihar,10:30 AM to 08:30 PM,7065045108,4.8,583
91,Gola Road,"Gola Road, Mouza Danapur, Near V Mart, Shehzadpur Bank Colony Road, Pargana Phulwari, Thana Danapur Sadar Registry, Patna, Bihar, 801503",Bihar,11:00 AM to 09:00 PM,9873918684,5.0,26
92,Ashok Rajpath,"Ground Floor, Ashok Rajpath, Near Pmch Gate Number 2, Ashok Rajpath, Opposite Bihar Youth Men'S Institute, Patna, Bihar, 800004",Bihar,10:30 AM to 08:30 PM,9582952507,4.7,902
93,Jamui,"Ground Floor, AAS Hotal, kachari Road, Jamui, Bihar, 811307",Bihar,11:00 AM to 09:00 PM,8744060205,4.9,328
94,Bettiah,"Banuchapar, N H 28, Supriya Cinema Road, West Champaran, Near St. Joseph School, Bettiah, Bihar, 845438",Bihar,10:00 AM to 08:30 PM,8447745709,4.8,751
95,Kurji Road,"Circle 247B, Holding 817A/2, Patliputra Circle, Ward 22B, Kurji Road, Kurji Road, Opposite Rbi Quarter, Patna, Bihar, 800010",Bihar,10:30 AM to 08:30 PM,8447732746,4.9,1328
96,West Boring Canal Road,"Shop No 22, Jagdish Lok Apartment, , West Boring Canal Road, Near Harilal'S Sweets, Patna, Bihar, 800001",Bihar,11:00 AM to 09:00 PM,7428890080,4.6,1051
97,Samastipur,"Main Road, Mohanpur, Mohanpur, Near Reliance Trends, Samastipur, Bihar, 848101",Bihar,10:30 AM to 08:30 PM,8929170401,4.9,836
98,"Kumhrar Park, Sandalpur Patna","Ground Floor, Vachaspati Nagar, Opposite Kumhrar Park, Sandalpur, Patna, Bihar, 800004",Bihar,10:30 AM to 08:30 PM,6124137431,,
99,Dakbunglow Road,"Shop No 143, Ground Floor, Block C, Mauryalok Complex, Dak Bunglow Road, Near Police Station Kotwali, Patna, Bihar, 800001",Bihar,10:30 AM to 09:00 PM,7428890113,4.8,1182
100,Laheriasarai,"Laheriasarai Tower, Vip Road , Laheriasarai, Opposite Petrol Pump, Darbhanga, Bihar, 846001",Bihar,10:30 AM to 09:00 PM,8929337387,4.9,826
101,Icon Plaza Mall Gobarsahi Chowk Muzaffarpur,"Icon Plaza Mall, Gobarsahi Chowk, NH 98, Main Road Bhagwanpur, Muzaffarpur, Bihar, 842001",Bihar,11:00 AM to 09:00 PM,7631150353,,
102,Kankarbagh,"Sn 4, Moti Mansion Apartment, Road No 2, Pc Colony, Kankarbagh, Opposite Apollo Trauma Centre, Patna, Bihar, 800020",Bihar,11:00 AM to 09:00 PM,7428890151,4.3,843
103,Ashiana,"Ground Floor, Khata No 708, Ashiana Digha Road, Near Passport Office , Beside Aditya Vision, Patna, Bihar, 800014",Bihar,10:30 AM to 08:30 PM,8447822872,4.8,800
104,Saguna More,"Saguna More, Khagaul Road, Front of Panache Banquet, Patna, Bihar, 801503",Bihar,10:30 AM to 08:30 PM,8929438840,4.8,1202
105,Gaya Bihar,"House No Gm001/1374, Ward No 22, Gb Road, Near Zila School, Gb Road, In Front Of Mvi Office, Gaya, Bihar, 823001",Bihar,10:30 AM to 08:30 PM,9643855328,4.8,316
106,Arrah,"Ground Floor, Krishn Kutri, Pakri, Katira More Road, Bhojpur, Arrah, Near Aditya Vision, Arrah, Bihar, 802301",Bihar,10:30 AM to 09:00 PM,8929100813,4.9,507
107,Hajipur,"Khata No 476, Khesra No 693, Anwapur Chowk, Cinema Road, Hajipur, Bihar, 844101",Bihar,10:00 AM to 08:30 PM,9625530530,4.9,849
108,RN Shaw Chowk,"Hotel Holiday International, Shiv Shakti Enterprises, Rn Shaw Chowk, Opposite Roopbani Cinema, Purnia, Bihar, 854301",Bihar,10:30 AM to 08:30 PM,7428890223,4.5,326
