number,Name,Address,Location,Timings,PhoneNumber,Rating,NumberofRatings
300,Laxminagar,"F 4 & 5, Vijay Block, Vikas Marg, Laxmi Nagar, Delhi, 110092",Delhi,11:00 AM to 09:30 PM,8826621646,4.7,2061
301,Uttam Nagar,"A27, Ground Floor, Hastal Main Najafgarh Road, Uttam Nagar, New Delhi, 110059",Delhi,11:00 AM to 09:30 PM,8929273106,4.9,882
302,Dilshad Garden,"F 257-A, Pocket F, Hansraj Public School Road, Dilshad Garden, Delhi, 110095",Delhi,11:00 AM to 09:30 PM,8929599397,4.9,173
303,Kailash Colony,"HS 17, Ground Floor, East Side, Kailash Colony Market, New Delhi, 110048",Delhi,11:00 AM to 09:30 PM,7428890266,4.9,504
304,Janakpuri C4E,"Shop No 331, Ground Floor, C4E, Janakpuri, New Delhi, 110058",Delhi,11:00 AM to 09:30 PM,8929756455,4.9,641
305,Neb Sarai,"A95,GF, Freedom Fighter Enclave, Main Road, Neb Sarai, Delhi, 110068",Delhi,11:00 AM to 09:30 PM,8447725705,4.9,1293
306,Bhajanpura,"F 398, Ground Floor, Khajoori Khas, Main Wazirabad Road, Bhajanpura, New Delhi, 110094",Delhi,11:00 AM to 09:30 PM,8929277897,4.9,441
307,Ashok Vihar,"119 A, Deep Enclave, Phase 3, Near Ambedkar Chowk, Ashok Vihar, Delhi, 110052",Delhi,11:00 AM to 09:30 PM,8130101670,4.9,666
308,Sanquelim,"Shop No 9 & 10, Krishna Kunj, opposite Radhakrishna Temple, Gokulwadi, Desai Nagar, Sanquelim, Goa, 403505",Goa,11:00 AM to 09:00 PM,9654953797,4.9,80
309,Flagship Store MG Road,"Ground Floor, H No 13/15/1A, 13/15/1, 13/15/1B, La Capitol Hotel, Mg Road, Panaji, Near Custom House Museum, Panaji, Goa, 403001",Goa,11:00 AM to 09:00 PM,9319369448,4.8,949
310,Margao,"B-SH-1, B-SH-7, Building B, Lotus Heights, Near Carmelite Church, Malbhat, Aquem, Margao, Goa, 403601",Goa,11:00 AM to 09:00 PM,9811039460,4.7,184
311,Margao Goa,"Shop No 7 and 8, Ground Floor, Reliance Magnum, Opposite KTC Bus Stand, Margao, Goa, 403601",Goa,11:00 AM to 09:00 PM,9582813692,5.0,6
312,Khorlim,"Shop No 10, Ground Floor, Buildmore Business Park, Chalta No 5, Khorlim, Mapusa, Goa, 403507",Goa,11:00 AM to 09:00 PM,9582516632,4.9,68
313,Candolim,"Pintos Vaddo, Candolim, Calangute, Opposite Foodball Ground, Goa, 403515",Goa,11:00 AM to 09:00 PM,9582855741,4.9,71
314,Westside Madgaon,"Unit No AS 07, Ground Floor, Gogal Vista, Gogal, Margoa, Goa, 403610",Goa,11:00 AM to 09:00 PM,9582922851,5.0,141
315,Dabolim,"Shop No 12, Umiya Quatro Plot D, Block B, Dabolim, Opposite Goa International Airport, Dabolim, Goa, 403801",Goa,11:00 AM to 09:00 PM,8929176484,4.7,321
316,Panaji,"Shop No 4, Duke Elite, 18 June Road, Panaji, Near St. Inez Church, Panaji, Goa, 403001",Goa,11:00 AM to 09:30 PM,7428891377,4.7,742
317,Mapusa Bata,"Ground Floor, Bhairao Building, opposite Municipal Market, Mapusa, Goa, 403507",Goa,11:00 AM to 09:00 PM,9582240759,5.0,89
318,New CG Road,"Shop No G 44, Sarjan Bunglows 2, New CG Road, Chandkheda, Sarjan Complex, Ahmedabad, Gujarat, 382424",Gujarat,11:00 AM to 09:00 PM,7428890007,4.7,676
319,Junagadh,"Shop No G2, Ground Floor, Peri Plaza Complex, Sardar Bagh, Near Alkapuri Society, Junagadh, Gujarat, 362001",Gujarat,10:30 AM to 08:30 PM,9643420312,4.5,148
320,Rushabh Char Rasta Adajan Patiya,"Shop No G/13, Sangini Magnus, Rushabh Char Rasta, Rander Road, Adajan Patiya, Opposite Rushabh Tower, Surat, Gujarat, 395009",Gujarat,11:00 AM to 09:00 PM,8447745628,4.9,774
321,Maninagar,"Shop No1, Shreekar Avenue, Bairavnath Road, Maninagar, Maninagar, Ahmedabad, Gujarat, 380008",Gujarat,11:00 AM to 10:00 PM,8447742650,4.8,767
322,Naranpura,"Shop No 5, Spenta 2 Buildings, Naranpura, Near Naranpura Police Station, Ahmedabad, Gujarat, 382170",Gujarat,11:00 AM to 09:30 PM,8929276040,4.9,529
323,Sama,"Shop No 36 & 37, Ground Floor, Lotus Aura Final, Plot No 168, Village Mouje Sama, Sama, Near Ioc Petrol Pump, Vadodara, Gujarat, 390024",Gujarat,11:00 AM to 09:30 PM,8929214932,4.9,927
324,Waghodia,"Ground Floor, Uma Complex, Uma Char Rasta, Uma Colony, Prabhat Nagar, Waghodia, Vadodara, Gujarat, 390019",Gujarat,11:00 AM to 09:30 PM,7065286190,4.8,308
325,Sheetal Park Madhapar,"Shop No 4, Ground Floor, Time Square II, Sheetal Park, Ayodhya Chowk, 150 Feet Road, Madhapar, Rajkot, Gujarat, 360006",Gujarat,11:00 AM to 09:00 PM,9643817450,5.0,128
326,Thaltej,"Shop No 4, Ground Floor, Dev Aditya Arcade, Thaltej, Shilaj Road, Near Bagban Partyplot, Ahmedabad, Gujarat, 380059",Gujarat,11:00 AM to 09:30 PM,9319365261,4.9,835
327,Manjalpur,"Shop No 3,4 & 5, Ground Floor Tulsidham Co-Operative Housing Society Limited, Manjalpur, Near Khaki Kathiyawadi Thali, Vadodara, Gujarat, 390011",Gujarat,11:00 AM to 09:30 PM,8130801618,4.8,1261
328,Sarthana,"Ground & First Floor, Shop No 01 & 101, Avadh Viceroy, Sarthana Jakat Naka, Kamrej Road, Subhash Nagar, Nana Varachha, Surat, Gujarat, 395006",Gujarat,11:00 AM to 09:30 PM,7065038236,4.9,1388
329,City Light,"Ug 4, Ascon City, City Light, Opposite Maheshwar Bhavan, Surat, Gujarat, 395007",Gujarat,11:00 AM to 09:30 PM,7428890053,4.9,917
330,Gandevi Road Navsari,"Shop No 3, Prem Nagar Society Jamalpore, Near Nilkanth Residency, Gandevi Road, Navsari Chhapra Part, Navsari, Gujarat, 396445",Gujarat,11:00 AM to 09:30 PM,9643654314,5.0,89
331,Valsad,"Shop No 09, H No 2664/A-09, Pramukh Sanidhya, Abrama,Valsad, Gujarat, 396001",Gujarat,11:00 AM to 09:00 PM,7065308772,4.9,150
332,L P Savani,"Shop No 6B, Shivalik Western, TGB, L P Savani Road, Adajan, Surat, Gujarat, 395009",Gujarat,11:00 AM to 10:00 PM,8447805845,4.8,1532
333,Anand,"Shop No 1, Ground Floor, Hotel Sach Regency, Amul Dairy Road, Beside Amul Dairy Gate, Anand, Gujarat, 388001",Gujarat,11:00 AM to 09:30 PM,8588808744,4.8,448
334,Himmatnagar,"Shop No 3&4, Ground Floor, Sv Complex, Sahkari Jin Road, Near Ananteshwar Mahadev, Himmatnagar, Gujarat, 383001",Gujarat,11:00 AM to 09:00 PM,7065045203,4.7,397
335,Navrangpura,"Ground Floor, Shop No 3, Glory Blossom Building, Hl College Road, Sabarmati Taluka, Sabarmati Taluka, Ahmedabad, Gujarat, 380009",Gujarat,11:00 AM to 09:30 PM,8929267915,4.9,1749
336,Jamnagar,"Ward No 12, City Survey No 676, Sheet No 161, Keshav Complex, P N Marg, Opposite Dhanvantri Ground, Jamnagar, Gujarat, 361008",Gujarat,11:00 AM to 09:00 PM,8929213223,4.8,1400
337,Waghawadi Road,"G5 Suvarnabhumi Heights, Opposite Honest Restaurant, Waghawadi Road, Bhavnagar, Gujarat, 364002",Gujarat,11:00 AM to 09:00 PM,8929642251,4.8,408
338,Nizampura Vadodara,"Ground Floor, Shop No 104 & 105, Siddharth Crest Ii, Opposite HP Petrol Pump, Nizampura Main Road, Nizampura, Vadodara, Gujarat, 390024",Gujarat,11:00 AM to 09:30 PM,9909045209,,
339,VR Mall Surat,"Shop No 118, First Floor, VR Mall, Dumasa Road, Magdalla, Surat, Gujarat, 395007",Gujarat,11:00 AM to 09:30 PM,8448431432,4.9,1454
340,Nikol,"Shop No 1 & 2, Devashya Status, Ankur Chokbi, New Colony, Bhakti Circle, Ahmedabad, Gujarat, 382345",Gujarat,11:00 AM to 09:00 PM,9582470318,4.7,442
341,Valia Chokdi,"Plot No 155/C, Shop No 28-29-36-37, Omkar Complex 1, Valia Chokdi, Gidc, Anklesvar, Gujarat, 393001",Gujarat,11:00 AM to 09:00 PM,8929440770,4.8,468
342,Bopal,"Shop No 3, Shilp Aaron, Bhagwatikrupa Society, Bopal, Beside Bharat Petroleum Pump, Ahmedabad, Gujarat, 380058",Gujarat,11:00 AM to 09:00 PM,7428891174,4.8,1026
343,Kalol,"Ground Floor, Shop No 62, City Mall 2, Navjivan Mill Compound, Vardhman Nagar, Kalol, Gujarat, 382721",Gujarat,11:00 AM to 09:00 PM,9811039574,4.9,536
344,Shyamal,"Shop No 22, Iconic, Shyamal, Near Shyamal Cross Road, Ahmedabad, Gujarat, 380015",Gujarat,11:00 AM to 10:00 PM,8929330698,4.9,1764
345,Bhayli,"Florence Excellence, Vasna Bhayli Road, Vadodara, Gujarat, 390015",Gujarat,11:00 AM to 09:30 PM,8929125017,4.9,343
346,Anand Gujarat,"Shop No 15,, Hr Prime Building, Vidya Nagar, Near Gold Cinema, Anand, Gujarat, 388001",Gujarat,11:00 AM to 09:30 PM,9643711455,4.7,933
347,Old Para Road,"Shop No 5, Ground Floor, Abhishek Complex, Old Para Road, Akshar Chowk, Vadodara, Gujarat, 390020",Gujarat,11:00 AM to 09:30 PM,8929261831,4.9,1112
348,"Science City Road, Sola","Shop No 01, Ground Floor, Royal Square, Science City Road, Sola, Opposite Coral Complex, Ahmedabad, Gujarat, 380060",Gujarat,11:00 AM to 09:30 PM,7428891186,4.8,965
349,"Gurukul Road, Memnagar","Shop No 1, Shilp Complex, Gurukul Road, Memnagar, Opposite Oxford Tower, Ahmedabad, Gujarat, 380052",Gujarat,11:00 AM to 09:30 PM,7428891192,4.8,1342
350,Nadiad,"Shop No 3, Gf, Sky Tatva, College Road, College Road, Opposite Ambashram, Nadiad, Gujarat, 387001",Gujarat,11:00 AM to 09:00 PM,8929435320,4.8,347
351,Chandkheda,"Ground Floor, Shop No 1, Nakshatra Arcade, Iocl Road, Beside Apollo Pharmacy, Ahmedabad, Gujarat, 382424",Gujarat,11:00 AM to 09:30 PM,8929340310,4.9,1648
352,Ambawadi,"Ground Floor, Shop No 7, Privera Complex, Nehrunagar Circle, Ambawadi, Ahmedabad, Gujarat, 382210",Gujarat,11:00 AM to 09:00 PM,8929341311,4.9,1063
353,Maple Tree Ahmedabad,"Gf 32, Maple Tree, B/S Manichandra Bunglows, Surdhara Circle, Thaltej, Surdhara Circle Memnagar, Near Manichandra Bnaglow, Ahmedabad, Gujarat, 380059",Gujarat,11:00 AM to 09:30 PM,9319364997,4.9,1579
354,VIP Road,"Shop No G 1, Roongta Arcade, VIP Road, Vesu, Opposite Nandanvan 2, Surat, Gujarat, 395007",Gujarat,11:00 AM to 09:30 PM,7303212213,4.9,1797
355,Patan,"Shop No 8/G & 9/G, Haridarshan Complex, Opposite Dsp Office, Patan, Gujarat, 384265",Gujarat,11:00 AM to 09:00 PM,8447614463,4.9,480
356,"New City Light, Althan","Ground Floor, Samarth Aquistic, New City Light Road, Althan, Near Mega Marriage Hall, Surat, Gujarat, 395007",Gujarat,11:00 AM to 09:30 PM,7428891224,4.9,1380
357,Supermall 2 Infocity,"Shop No 5,Groud Floor,Supermall 2, Near HDFC Bank, Infocity, Gandhinagar, Gujarat, 382010",Gujarat,11:00 AM to 09:00 PM,9582383297,4.9,655
358,Gunjan,"Shop No 7, Adarsh Vihar, Gunjan Cinema, Vapi, Gujarat, 396195",Gujarat,11:00 AM to 09:00 PM,7428890196,4.8,757
359,Sadhuvasvani Road,"G01, Everest Enclave, Yogi Chowk, Near Gangotri Dairy, RMC Garden, Sadhuvasvani Road, Rajkot, Gujarat, 360005",Gujarat,11:00 AM to 09:00 PM,9582600198,4.9,396
360,Virat Nagar,"Shop No 21 & 22, Satyagrah Residency, Opposite Kanba Hospital, Virat Nagar, Nikol, Ahmedabad, Gujarat, 380038",Gujarat,11:00 AM to 09:00 PM,7292090449,5.0,109
361,Prahlad Nagar,"Shop No 4, Arth Complex, Anand Nagar Road, Prahlad Nagar, Near Seema Hall, Ahmedabad, Gujarat, 380015",Gujarat,11:00 AM to 09:00 PM,7428890208,4.8,924
362,Laxmi Enclave Katagram,"Ground Floor, Shop No 57, 58 & 59 B Half, Laxmi Enclave 2, Laxmi Circle, Katargam, Opposite Gajera School, Surat, Gujarat, 395004",Gujarat,11:00 AM to 09:30 PM,8929165209,4.9,1813
363,Vasna Road,"Shop No 4, Ground Floor, Pancham Icon, Vasna Road, Vasna Road, Next To Dmart, Vadodara, Gujarat, 390007",Gujarat,11:00 AM to 09:30 PM,8929465954,4.9,1069
364,Sector 16 Gandhinagar,"Plot No 435, Sector 16, Gh Road, Sector 16, Beside Axis Bank, Gandhinagar, Gujarat, 382016",Gujarat,11:00 AM to 09:00 PM,8929136914,4.9,1439
365,Yagnik Road,"Ground Floor, Royal Corner, Yagnik Road, Sradar Nagar, Opposite Chaswala Park Avenue Show Room, Rajkot, Gujarat, 360001",Gujarat,11:00 AM to 09:00 PM,8800774907,4.8,1484
366,Bapunagar,"Ground Floor, Shantamone, L B Shastry Road, Bapunagar, Beside D Mart, Ahmedabad, Gujarat, 380024",Gujarat,11:00 AM to 09:30 PM,8929310930,4.8,1004
367,Ashram Road,"Ground Floor 02, Westbank, Ashram Road, Opposite City Gold Cinema, Ahmedabad, Gujarat, 380015",Gujarat,11:00 AM to 09:30 PM,8929346286,4.8,590
368,Maruti Solaris Mall,"Shop No 41, Maruti Solaris Mall, Anand Sojitra Road, Anand, Gujarat, 388001",Gujarat,11:00 AM to 09:30 PM,9582634980,4.9,212
369,Yogichowk,"Shop No 39, The Galleria Building, Yogi Chowk Road, Surat, Gujarat, 395010",Gujarat,11:00 AM to 09:00 PM,7303174175,4.9,887
370,"Inorbit Mall, Vadodara","Shop No F30, First Floor, Inorbit Mall, Gorwa Road, Subhanpura, Opposite Alembic School, Vadodara, Gujarat, 390023",Gujarat,11:00 AM to 09:30 PM,7428891273,4.8,1651
371,Gota,"Shop No 4, Vrundavan Heights, Chenpur, Gota, Near Savvy Swaraj, Ahmedabad, Gujarat, 380060",Gujarat,11:00 AM to 09:00 PM,7428890237,4.8,939
372,Nava Naroda,"Ground Floor, 07/08 Supreme Square, Bapa Sitaram Chowk Road Krishnanagar, Nava Naroda Nikol, Ahmedabad, Gujarat, 380038",Gujarat,11:00 AM to 09:00 PM,9582615706,5.0,158
373,Ranip,"Shop No 1, Arved Transcub, Ranip Bus Station, Ranip, Opposite Ranip Brts Bus Stop, Ahmedabad, Gujarat, 382480",Gujarat,11:00 AM to 09:00 PM,9899871483,4.9,936
374,Zadheshwar Road,"Shop No 4 & 5, SLD Nirvana, Zadeshwar Road, Ganeshpuri Society, Zadeshwar, Opposite Ayyappa Temple, Bharuch, Gujarat, 392011",Gujarat,11:00 AM to 09:00 PM,9643750125,4.9,216
375,Akota,"Ground Floor, Shop No 4, Akota, Akota, Beside Sony Centre Parshwadarshan Complex, Vadodara, Gujarat, 390020",Gujarat,11:00 AM to 09:30 PM,8929342553,4.9,856
376,South Bopal,"Shop No 18, Ground Floor, Orchid Center Complex, South Bopal, South Bopal, Opposite Safal Parisar, Ahmedabad, Gujarat, 380058",Gujarat,11:00 AM to 09:00 PM,8929273124,4.7,537
377,Genda Circle,"Shop No 33, Ground Floor, Atlantis K10, Genda Circle, Alkapuri, Alkapuri, Opposite Central Mall, Vadodara, Gujarat, 390023",Gujarat,11:00 AM to 09:30 PM,8447730970,4.9,1371
378,Adajan,"Shop No 18, Ground Floor, Jay Complex, Anand Mahal Road, Adajan, Opposite Chakradhar Honda, Surat, Gujarat, 395009",Gujarat,11:00 AM to 09:30 PM,7303953954,4.9,1226
379,Sindhubhavan,"Ground Floor 5, Silver Radiance, Sindhubhavan Road Bodakdev, Sindhubhavan, Ahmedabad, Gujarat, 380058",Gujarat,11:00 AM to 09:00 PM,8929266319,4.9,1050
380,Palanpur,"Shop No 98 & 99, Shree Arcade Shopping Centre, Palanpur Abu Highway, Palanpur, Gujarat, 385001",Gujarat,11:00 AM to 09:00 PM,7303933934,4.9,585
381,Vastrapur,"Groud Floor & First Floor, Vastrapur, Beside Yes Bank Galaxy Bazaar, Ahmedabad, Gujarat, 380015",Gujarat,11:00 AM to 09:30 PM,8929167903,4.9,1357
382,Mehsana Radhanpur,"Shop No 20, Metricon Complex, Panchot, Opposite Domino, Mehsana, Gujarat, 384002",Gujarat,11:00 AM to 09:00 PM,7042193194,4.9,1028
383,Ved Road,"Shop No 33/34/35, Laxmi Darshan Complex, Ved Road, Katargam, Near Dabholi Cross Road, Surat, Gujarat, 395004",Gujarat,11:00 AM to 09:30 PM,8447731779,4.9,1443
384,Ajwa,"Shop No 5, GF, Shree Siddheswar Hallmark Showroom, RS No 241/A/2, Mouje Village, Ajwa Road, Vadodara, Gujarat, 390019",Gujarat,11:00 AM to 09:30 PM,8743023527,4.9,588
385,Station Road,"Shop No 2, Prabhakunj Heights, Station Road, Besides Dabu Hospital, Navsari, Gujarat, 396445",Gujarat,11:00 AM to 09:00 PM,7428890279,4.8,400
386,"Chala Road, Vapi","G/10 & 11 Shoppers Gate, Chala, Daman Road, Near Tbz, Vapi, Gujarat, 396191",Gujarat,11:00 AM to 09:00 PM,8447728403,4.8,569
387,Bhatar,"Gf28, Rajhans Olympia, Sanskar Nagar, Bhatar Road, Rajhans Olympia Building, Surat, Gujarat, 395007",Gujarat,11:00 AM to 09:00 PM,8929608658,4.9,1031
388,Char Rasta,"Shop No 11 & 12, Gold Coin Complex, Jodhpur Char Rasta, Satellite Road, Ahmedabad, Gujarat, 380015",Gujarat,11:00 AM to 09:00 PM,9205975976,4.8,1637
389,Bhuj,"Ground Floor, Shop No 1 & 2, Hospital Road, Opposite Rajaram Complex, Bhuj, Gujarat, 370001",Gujarat,11:00 AM to 09:00 PM,8929808415,4.6,544
390,Gandhinagar,"Shop No 2 A Gf2, Pramukh Arcade, Rajdhani Society, Kudasan, Pramukh Arcade, Near Reliance Chowk, Gandhinagar, Gujarat, 382421",Gujarat,11:00 AM to 09:00 PM,9971001355,4.7,842
391,Honey Park,"Shop No 19, Ground Floor, Aadinath Arcade, Honey Park Road Adajan, Surat, Gujarat, 395009",Gujarat,11:00 AM to 09:30 PM,9953929749,5.0,344
392,Parvat Patiya,"Ground Floor, Shop No 2, Plot No 51, Mahendra Park Society, Parvat Patiya, Dumbhal, Near Aye Mata Chowk, Surat, Gujarat, 395010",Gujarat,11:00 AM to 09:00 PM,8929346323,4.9,1322
393,Alkapuri,"Shop No 7, Ground Floor, Meghdhanush Complex, Alkapuri, Near Bird Circle, Race Course Road, Vadodara, Gujarat, 390007",Gujarat,11:00 AM to 09:00 PM,7428890296,4.8,724
394,Kotecha Chowk,"Shop No 1, Aardhana Building, Kalawad Road, Near Kotecha Chowk, Rajkot, Gujarat, 360005",Gujarat,11:00 AM to 09:00 PM,8447745869,4.9,1006
395,Alpha One Mall,"F-7, 261, Sarkari Vasahat Road, Vastrapur, Alpha One Mall, Opposite Pepe Jeans, Ahmedabad, Gujarat, 380006",Gujarat,11:00 AM to 09:00 PM,7428891368,4.9,1533
396,Prahladnagar,"Ground Floor 6, Pushpak Complex, Prahladnagar Road, Opposite Prahladnagar Garden, Ahmedabad, Gujarat, 380015",Gujarat,11:00 AM to 09:00 PM,8929334626,4.8,672
397,Chanakyapuri,"Shop No 6, Grond Floor, Shayona Sarvopari Complex, Opposite Shayona Hospital, RC Technical Road, Chanakyapuri, Gatlodia, Ahmedabad, Gujarat, 380061",Gujarat,11:00 AM to 09:00 PM,9953684921,4.8,133
398,Naroda,"Shop No 3, Aayushman Plaza, Vasant Vihar 2, Nava Naroda, Ahmedabad, Gujarat, 382330",Gujarat,11:00 AM to 09:30 PM,8447725795,4.8,691
399,Nanpura,"GF 01, Milestone Elite, Timiliyawada Road, Timaliawad, Nanpura, Surat, Gujarat, 395001",Gujarat,11:00 AM to 09:30 PM,9899411096,4.9,761
400,Mota Varachha,"G04, AR Mall, Opposite Panvelpoint, Mota Varachha, Utaran, Surat, Gujarat, 394101",Gujarat,11:00 AM to 09:30 PM,9953665923,,
401,Vastral,"Silver Point Shop No 3, Nirant Char Rasta, Mahadevnagar Road, Vastral, Opposite Metro Pillar No 138, Ahmedabad, Gujarat, 382418",Gujarat,11:00 AM to 09:00 PM,8447743831,4.8,918
402,Valsad,"Shop No 2, Lillys Shoppee, Tithal Road, Near Bharat Dairy, Valsad, Gujarat, 396001",Gujarat,11:00 AM to 09:00 PM,8826001366,4.8,390
403,Phase 2 GIDC,"Shop No 29 & 30, Silvasa Vapi Road, Phase 2, GIDC, Vapi, Gujarat, 396191",Gujarat,11:00 AM to 09:30 PM,9953637332,5.0,380
404,CG Road,"Shop No 1, 2 & 3, Singaporean Avenue, , Cg Road, Near Super Mall, Ahmedabad, Gujarat, 380009",Gujarat,11:00 AM to 09:30 PM,7428891073,4.8,1692
405,Karelibagh,"Ground FLoor, Dharmik Avenue, Near HDFC Bank, Ambalal Cross Road, karelibaug, Vadodara, Gujarat, 390018",Gujarat,11:00 AM to 09:30 PM,9818821639,4.8,1126
406,Bharuch,"Shop No 4 Ground Floor Sethna Plaza, Station Road, Near Hp Petrol Pump, Bharuch, Gujarat, 392001",Gujarat,11:00 AM to 09:00 PM,8826631368,4.9,456
407,Gotri Sears Tower,"Shop No 4, Ground Floor, Gotri Sears Tower, Sevasi Canel, Vadodara, Gujarat, 391101",Gujarat,11:00 AM to 09:30 PM,8929185165,4.9,1021
408,Mavdi,"Shop No 3 & 4, One Mavdi Building, Mavdi Bypass Road, Behind Haridarshan School, Mavdi Village, Mavdi, Rajkot, Gujarat, 360004",Gujarat,11:00 AM to 09:00 PM,9953449842,5.0,97
409,Maninagar,"Shop No 5, Madhuram Complex, Maninagar Char Rasta, Maninagar, Opposite Shree Vallabhacharya Ji Chowk Bus Stop, Ahmedabad, Gujarat, 380008",Gujarat,11:00 AM to 10:00 PM,7428891086,4.8,1602
410,Eva Mall,"Ugf 019 & 20, Eva Mall, Saraswati Complex, Vrajdham Mandir Road, Manjalpur, Near Patidar Cross Road, Vadodara, Gujarat, 390011",Gujarat,11:00 AM to 09:30 PM,8447847079,4.9,714
411,Trikon Bagh,"Shop No 1 & 2, Shree Chambers, Dhebar Rd, near Central City Bus Stop, Trikon Baug, Raghuveer Para, Lohana Para, Rajkot, Gujarat, 360001",Gujarat,11:00 AM to 09:00 PM,9873960198,4.9,154
412,4D Square Mall Motera,"Shop No 30 & 31, Ground Floor, 4D Square Mall, Draft Town Planning Scheme No 21, Moje Motera, Near Tune Hotel, Visat Gandhinagar Road, Taluka, Ahmedabad, Gujarat, 380005",Gujarat,11:00 AM to 09:00 PM,8744058464,4.9,671
413,150 Feet Ring Road,"Plot No A51, Ground Floor, Shope No 18, Twin Star, Nanamava Circle, 150 Feet Ring Road, Nanamava Circle, Rajkot, Gujarat, 360005",Gujarat,11:00 AM to 09:00 PM,8929277340,4.9,977
414,DB Mall,"Khasra No 520, 521, 524, DB Mall, Unit No F2&3, 528 & 529, Racecourse Road, Opposite Railway Station, Gwalior, Madhya Pradesh, 474001",Gwalior,11:00 AM to 10:00 PM,8929839065,5.0,1607
415,Phoolbagh,"Ground Floor, City Square Building, Shop No G 3, G 4,G 13 & G 14, Near GDA Office, Sai Baba Mandir Road, Phool Bagh, Gwalior, Madhya Pradesh, 474002",Gwalior,11:00 AM to 10:00 PM,9899409859,5.0,668
416,Gwalior,"R/0/770/44, Patankar Bazaar Lashkar, Patankar Bazaar, Near Shanti Nursing Home, Gwalior, Madhya Pradesh, 474001",Gwalior,11:00 AM to 10:00 PM,8929330615,4.9,947
417,Chetakpuri,"Ground Floor, Shop No 3, Chetakpuri Main Road, Opposite Nirma Bhawan, Chetakpuri, Gwalior, 474001",Gwalior,11:00 AM to 10:00 PM,8447907937,4.9,1098
418,University Road,"Ground Floor, Plot No 1, University Road, Adjacent to Navyug Hospital, Govindpuri, Gwalior, Madhya Pradesh, 474011",Gwalior,11:00 AM to 10:00 PM,8929469731,4.9,698
419,NIT,"1H/60 Ground & First Floor, Bn Nit, Faridabad, Haryana, 121001",Haryana,11:00 AM to 09:30 PM,8447731751,4.9,810
420,Panchkula,"Ground Floor, SCO 57, Swastik Vihar, Near Apollo Pharmacy, MDC 5, Sector 5, Panchkula, Haryana, 134114",Haryana,11:00 AM to 09:00 PM,9873917952,4.3,6
421,Sector 15,"Shop No 71, Ground Floor, Sector 15, Part 2, Gurugram, Haryana, 122001",Haryana,11:00 AM to 09:30 PM,7428891114,4.8,649
422,Rohtak,"Shop No 2, Raj Complex, Delhi Road, Opposite Liberty Cinema, Rohtak, Haryana, 124001",Haryana,11:00 AM to 09:30 PM,9667273274,4.9,1794
423,"Sector 53, Gurugram","The Palm Spring Plaza, First Floor, DLF Phase 5, Manabe Sector 53, Gurugram, Haryana, 122002",Haryana,09:30 AM to 06:30 PM,08744080515,4.9,30
424,Sushant Lok 1,"Shop No 39, Ground Floor, Vyapar Kendra, Sushant Lok 1, Gurugram, Haryana, 122002",Haryana,11:00 AM to 09:30 PM,7428891143,4.7,412
425,Gandhi Nagar Chowk Sonipath,"Plot No 2, Ground Floor, Hem Nagar, Near Gandhi Nagar Chowk, Sonipath, Haryana, 131001",Haryana,11:00 AM to 09:30 PM,9582633910,5.0,32
426,Sector 63,"Ground Floor 27, Paras Trinity, Sector 63, Gurugram, Haryana, 122011",Haryana,11:00 AM to 09:30 PM,9319375672,4.8,162
427,"New Railway Road, Adarsh Nagar","Shop No 305/1, Ground Floor, New Railway Road, Adarsh Nagar, Gurugram, Haryana, 122001",Haryana,11:00 AM to 09:30 PM,7428891171,4.7,378
428,New Industrial Town 5,"Shop No 5C-91, New Industrial Town 5, Near Banke Bihari Mandir, Faridabad, Haryana, 121001",Haryana,11:00 AM to 09:30 PM,7428891180,4.8,774
429,Sector 04,"SCO 34, Ground Floor, Huda Market, Sector 04, Gurugram, Haryana, 122001",Haryana,11:00 AM to 09:30 PM,8800775164,4.9,90
430,Urban Estate,"SCF 40, Ground Floor, Urban Estate II, Hisar, Haryana, 125001",Haryana,11:00 AM to 09:30 PM,8447846048,4.9,472
431,"Sector 15, Faridabad","Scf 58, Ground Floor, Sector 15, Faridabad, Sector 15 Market, Faridabad, Haryana, 121007",Haryana,11:00 AM to 09:30 PM,7428891191,4.9,1296
432,Sapphire 90 Mall,"Shop No 145, Ground Floor, Sapphire Mall, Sector 90, Gurugram, Haryana, 122505",Haryana,11:00 AM to 09:30 PM,8929344697,4.8,370
433,Eros City Square Mall,"Shop No 90, Eros City Square Mall, Sector 49, Gurugram, Haryana, 122018",Haryana,11:00 AM to 09:30 PM,8588814302,4.9,217
434,Greenfield Colony Faridabad,"Shop No 2, C 3615, Sector C, Greenfield Colony, Near Kalka Public School, Vill Sarai ,Faridabad, Haryana, 121003",Haryana,11:00 AM to 09:00 PM,1294083132,,
435,Arjun Marg,"Shop No 108, The Shopping Mall, DLF Phase 1, Sector 26 A, Arjun Marg, Gurugram, Haryana, 122002",Haryana,11:00 AM to 09:30 PM,7428891202,4.6,323
436,Subhash Nagar,"Shop No 39 & 40, Basement & Ground Floor, Municipal Market, Atlas Road, Indira Colony, Main Subhash Chowk, Sonipat, Haryana, 131001",Haryana,11:00 AM to 09:30 PM,9870523524,4.8,758
437,Model Town Yamuna Nagar,"Ground Floor & First Floor, Property No 525 A, C Part, Near J K Residency, Gobindpuri Road, Model Town, Amabala Cluster, Yamuna Nagar, Haryana, 135001",Haryana,11:00 AM to 09:00 PM,8447803468,4.8,240
