Product ID,Product Image URL,Product URL,Product Color,Product Size,Product Width,Market Price,Lenskart Price,Product Brand Name,Product Rating,Total Ratings
212053,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/grey-black-full-rim-rectangle-hooper-superhero-lk-s16249-c1-sunglasses_img_4375_06_12_2023.jpg,https://www.lenskart.com/lenskart-lk-s-16249-c1-sunglasses.html,Black,8-12 yrs,128 mm,2000,2000,Hooper,0.0,
213656,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/hooper-hp-s16590m-c3-sunglasses_img_9506_05_jan24.jpg,https://www.lenskart.com/hooper-hp-s16590m-c3-sunglasses.html,Blue,8-12 yrs,126 mm,1000,1000,Hooper,0.0,
136120,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e12743-c2-eyeglasses_john-jacobs-jj-e12743-c2-eyeglasses__g_1387_1.jpg,https://www.lenskart.com/golden-black-half-rim-aviator-large-size-56-john-jacobs-pro-titanium-jj-e12743-c2-eyeglasses.html,Gold,Wide,140 mm,5000,5000,John Jacobs,4.7,40
147675,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-s12472-c6-sunglasses_G_8650.jpg,https://www.lenskart.com/john-jacobs-jj-s12472-c6-sunglasses.html,Rose Gold,Wide,138 mm,5000,5000,John Jacobs,4.3,24
211032,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/kids-glasses:-creemy-white-multicolour-rectangle-kids-2-5-yrs-hooper-memphis-hp-e16078-c2_csvfile-1699448761774-img_0988.jpg,https://www.lenskart.com/hooper-hp-e16078-c2-eyeglasses.html,White,2-5 yrs,109 mm,1000,1000,Hooper,0.0,
212028,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/lenskart-lk-e16271-c1-eyeglasses_img_3910_16_11_2023.jpg,https://www.lenskart.com/lenskart-lk-e-16271-c1-eyeglasses.html,Grey,8-12 yrs,130 mm,2000,2000,Hooper,5.0,1
213640,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/hooper-hp-e15084l-c9-eyeglasses_img_9300_05_jan24.jpg,https://www.lenskart.com/hooper-hp-e15084l-c9-eyeglasses.html,Purple,5-8 yrs,124 mm,1000,1000,Hooper,0.0,
210552,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/yellow-transparent-brown-full-rim-aviator-vincent-chase-hd-acetate-vc-e15989-c2-eyeglasses_g_7743_03_10_2023.jpeg,https://www.lenskart.com/vincent-chase-vc-e15989-c2-eyeglasses.html,Yellow Transparent,Wide,139 mm,1700,1700,Vincent Chase,5.0,1
213661,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//h/i/hooper-hp-s16592l-c2-sunglasses_img_9436_05_jan24.jpg,https://www.lenskart.com/hooper-hp-s16592l-c2-sunglasses.html,Black,8-12 yrs,127 mm,1000,1000,Hooper,0.0,
215390,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/olive-green-transparent-multicolour-full-rim-cat-eye-vincent-chase-classic-acetate-vc-e16666-c1-eyeglasses_img_2094_19_jan24.jpg,https://www.lenskart.com/vincent-chase-vc-e16666-c1-eyeglasses.html,Green,Narrow,133 mm,1700,1700,Vincent Chase,0.0,
